latitude,longitude,Amenity
-33.7310765,151.1044879,Fast food
-33.7186233,151.1172899,Fast food
-33.6764174,151.0986084,Fast food
-33.702968,151.1012508,Fast food
-33.7030789,151.101301,Fast food
-33.71046,151.1022911,Fast food
-33.7038134,151.1000173,Fast food
-33.7036627,151.100514,Fast food
-33.7017458,151.0998102,Fast food
-33.7068362,151.109994,Fast food
-33.70327391,151.097694,Fast food
-33.68713357,151.1085119,Fast food
-33.70893452,151.100946,Fast food
-33.70629636,151.0987118,Fast food
-33.671279,151.1144262,Fast food
-33.6766143,151.1120743,Fast food
-33.67852659,151.1111231,Fast food
-33.6227915,151.152545,Fast food
-33.62334537,151.1518818,Fast food
-33.54732157,151.2266112,Fast food
-33.7515617,151.2441985,Fast food
-33.751128,151.2443224,Fast food
-33.7511035,151.2441146,Fast food
-33.7504016,151.2247849,Fast food
-33.7502832,151.2237824,Fast food
-33.7621047,151.2142831,Fast food
-33.7622637,151.2142394,Fast food
-33.8440639,151.2406252,Fast food
-33.8281292,151.2307437,Fast food
-33.8266743,151.2513281,Fast food
-33.8319974,151.2385949,Fast food
-33.8242599,151.2414896,Fast food
-33.82983504,151.2268096,Fast food
-33.783864,151.2671386,Fast food
-33.7861821,151.2662946,Fast food
-33.7996978,151.2844881,Fast food
-33.7997665,151.284346,Fast food
-33.7997013,151.2840226,Fast food
-33.7884835,151.2849275,Fast food
-33.7982305,151.2882705,Fast food
-33.7972233,151.286777,Fast food
-33.7985205,151.2859777,Fast food
-33.7980387,151.2885419,Fast food
-33.797867,151.2871414,Fast food
-33.7974571,151.2878129,Fast food
-33.7960861,151.2875846,Fast food
-33.7971102,151.2859317,Fast food
-33.7973624,151.2879895,Fast food
-33.7996087,151.2840743,Fast food
-33.7723512,151.279466,Fast food
-33.7722434,151.2794147,Fast food
-33.7389652,151.3028761,Fast food
-33.7387217,151.3028571,Fast food
-33.7323525,151.3011146,Fast food
-33.731835,151.3007927,Fast food
-33.731734,151.3008109,Fast food
-33.7308483,151.2922263,Fast food
-33.7307573,151.2924587,Fast food
-33.73847782,151.3023829,Fast food
-33.7529472,151.2883747,Fast food
-33.7544501,151.2962245,Fast food
-33.7521653,151.2846642,Fast food
-33.7458153,151.2764757,Fast food
-33.7549862,151.2960063,Fast food
-33.7536515,151.2963832,Fast food
-33.7554496,151.2835628,Fast food
-33.7543733,151.2848146,Fast food
-33.7545771,151.2848121,Fast food
-33.7537845,151.2853442,Fast food
-33.7545643,151.2847146,Fast food
-33.7525415,151.2872056,Fast food
-33.7551651,151.275125,Fast food
-33.7538342,151.2852684,Fast food
-33.7552295,151.2754414,Fast food
-33.7552188,151.2753597,Fast food
-33.7529299,151.2871366,Fast food
-33.7533273,151.2873005,Fast food
-33.7533659,151.287292,Fast food
-33.7533971,151.287453,Fast food
-33.7538915,151.2871399,Fast food
-33.754272,151.2962564,Fast food
-33.7540819,151.2607553,Fast food
-33.7621324,151.2744664,Fast food
-33.7625136,151.2796592,Fast food
-33.7620498,151.271988,Fast food
-33.7799314,151.2762259,Fast food
-33.7825841,151.2774663,Fast food
-33.7617816,151.2798998,Fast food
-33.7655322,151.2501895,Fast food
-33.7655177,151.2500918,Fast food
-33.7655963,151.2504901,Fast food
-33.7656112,151.2505683,Fast food
-33.7655297,151.2501317,Fast food
-33.7655853,151.2504349,Fast food
-33.7131736,151.297095,Fast food
-33.7125167,151.2974662,Fast food
-33.7124687,151.2975053,Fast food
-33.7128951,151.2980999,Fast food
-33.7014092,151.3060912,Fast food
-33.7198846,151.2978162,Fast food
-33.6955107,151.2798156,Fast food
-33.7024872,151.2955697,Fast food
-33.7025777,151.2953429,Fast food
-33.676611,151.2899866,Fast food
-33.6768342,151.2899758,Fast food
-33.6780294,151.3032786,Fast food
-33.6779915,151.303114,Fast food
-33.6777922,151.3027959,Fast food
-33.677838,151.3028747,Fast food
-33.6776022,151.3031505,Fast food
-33.6779325,151.3030142,Fast food
-33.6765386,151.3023386,Fast food
-33.6779897,151.3032128,Fast food
-33.6761319,151.3026512,Fast food
-33.6762812,151.3032522,Fast food
-33.6766648,151.3035393,Fast food
-33.6557106,151.3191372,Fast food
-33.6603587,151.3095233,Fast food
-33.66025445,151.3087512,Fast food
-33.6372026,151.3286161,Fast food
-33.6373837,151.3289777,Fast food
-33.5972317,151.3203272,Fast food
-33.8274146,151.1266075,Fast food
-33.8273648,151.1269182,Fast food
-33.8269591,151.1265723,Fast food
-33.8241527,151.1250933,Fast food
-33.8135458,151.1059401,Fast food
-33.7834983,151.1306329,Fast food
-33.7835725,151.1305155,Fast food
-33.7760699,151.1200671,Fast food
-33.7735367,151.1139211,Fast food
-33.7945077,151.1217011,Fast food
-33.7954281,151.1223962,Fast food
-33.7947038,151.1219683,Fast food
-33.7952944,151.1222407,Fast food
-33.8075338,151.0869912,Fast food
-33.8069709,151.0846586,Fast food
-33.8065941,151.0711206,Fast food
-33.80748413,151.0856156,Fast food
-33.8146156,151.054975,Fast food
-33.8147588,151.0562284,Fast food
-33.8071015,151.0697746,Fast food
-33.8108863,151.0350506,Fast food
-33.8048677,151.0336235,Fast food
-33.7972542,151.0258806,Fast food
-33.7768372,151.0524754,Fast food
-33.776888,151.0521914,Fast food
-33.7796927,151.0520011,Fast food
-33.7832464,151.0465989,Fast food
-33.7770102,151.0521167,Fast food
-33.7755933,151.052433,Fast food
-33.7379095,151.0745218,Fast food
-33.72943293,151.0823286,Fast food
-33.7725842,151.0808479,Fast food
-33.7730831,151.0816525,Fast food
-33.773534,151.0811406,Fast food
-33.7741586,151.0821343,Fast food
-33.7733179,151.0817534,Fast food
-33.77109667,151.0827287,Fast food
-33.77127073,151.0826957,Fast food
-33.7837491,151.0937984,Fast food
-33.7841905,151.0941363,Fast food
-33.7838116,151.0939727,Fast food
-33.7913489,151.0817961,Fast food
-33.8481044,151.0672716,Fast food
-33.8499297,151.0620253,Fast food
-33.834305,151.0560799,Fast food
-33.848432,151.0676275,Fast food
-33.8482068,151.0673735,Fast food
-33.8466683,151.0706669,Fast food
-33.8342515,151.0559877,Fast food
-33.83394,151.05647,Fast food
-33.8866214,151.1374633,Fast food
-33.8743763,151.1269174,Fast food
-33.89593191,151.1076142,Fast food
-33.8766789,151.1039578,Fast food
-33.8741918,151.1046761,Fast food
-33.874184,151.1048395,Fast food
-33.8742655,151.1049049,Fast food
-33.8774395,151.102389,Fast food
-33.8714241,151.094843,Fast food
-33.8723469,151.094389,Fast food
-33.88726064,151.0717898,Fast food
