Charging location,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation installed capacity in 2023 (MVA),Zone substation available capacity in 2023 (MVA),Zone (km),Type,Latitude,Longitude,Time
"Tamworth, NSW",4,4,15,78,46,13.6,10km,Major towns,-31.08942105,150.9303527,1/01/2024
"Ballina, NSW",4,4,6,26,30,3.9,10km,Major towns,-28.85914979,153.564414,1/01/2024
"Byron Bay, NSW",4,4,10,47,75,44.4,10km,Major towns,-28.63753887,153.5925318,1/01/2024
"Coffs Harbour, NSW",4,4,10,41,76,29.3,10km,Major towns,-30.29646404,153.1135474,1/01/2024
"Grafton, NSW",4,4,6,19,25,8.3,10km,Major towns,-29.68712068,152.936531,1/01/2024
"Kingscliff, NSW",4,4,6,18,30,14.6,10km,Major towns,-28.26011013,153.5797429,1/01/2024
"Lennox Head, NSW",4,4,4,12,45,13.5,10km,Major towns,-28.79083743,153.585243,1/01/2024
"Lismore, NSW",4,4,7,30,78,38.3,10km,Major towns,-28.81477336,153.2858978,1/01/2024
"Port Macquarie, NSW",6,4,14,68,80,23.9,10km,Major towns,-31.4354193,152.8976597,1/01/2024
"Boambee, NSW",4,4,5,18,30,21,10km,Major towns,-30.33112267,153.0817941,1/01/2024
"Terranora, NSW",4,4,4,4,30,23.5,10km,Major towns,-28.24166615,153.5092115,1/01/2024
Tweed Heads,4,4,10,40,110,49,10km,Major towns,-28.18074858,153.5211111,1/01/2024
"Albury, NSW",4,4,10,48,197.9,58.4,10km,Major towns,-36.06521947,146.9398891,1/01/2024
"Griffith, NSW",4,4,7,29,87.5,34.8,10km,Major towns,-34.28797694,146.0447694,1/01/2024
"Moama, NSW",4,4,4,7,30,14.7,10km,Major towns,-36.11112877,144.7560399,1/01/2024
"Wagga Wagga, NSW",5,4,14,75,98,29.2,10km,Major towns,-35.11753461,147.3600657,1/01/2024
"Batemans Bay, NSW",4,4,6,21,45,25.7,10km,Major towns,-35.72494275,150.1941396,1/01/2024
"Goulburn, NSW",4,4,9,40,64,33,10km,Major towns,-34.75542588,149.7137326,1/01/2024
"Colo Vale, NSW",4,4,4,9,30,16.6,10km,Major towns,-34.42143965,150.4771118,1/01/2024
"Jindabyne, NSW",4,4,5,20,40,22.1,10km,Major towns,-36.42756905,148.6215919,1/01/2024
